,0
979,-77.32901086325018
980,-187.13745991374412
981,-356.7554778837571
982,-36.33740012334428
983,-45.05120444984381
984,-281.66762521749007
985,-294.68347264588976
986,-148.25394064148458
987,-238.10310943066472
988,-173.33828593742453
989,-151.77534772172834
990,-364.6141189873797
991,-118.26778851957913
992,-97.00587323973137
993,-124.59678144657263
994,-47.81307602503155
995,-94.63845985829052
996,-470.4876317925111
997,-117.78091869955342
998,-102.6130052781791
999,-297.77073227243204
1000,-83.02553562719545
1001,-130.88578660618705
1002,-147.9775536106402
1003,-563.5131133975382
1004,-52.42898685346598
1005,-224.43355101964323
1006,-285.93044920364287
1007,-112.49135256097559
1008,-218.32512629778472
1009,-218.668257087286
1010,-162.26652074447756
1011,-159.46024848771845
1012,-47.15283041759192
1013,-128.86948966709616
1014,-118.85084111298406
1015,-108.19995829458276
1016,-327.26168852732474
1017,-188.3750559096266
1018,-431.53023639129844
1019,-109.09345050885828
1020,-188.94604076842268
1021,-75.05673518009132
1022,-118.51790360456783
1023,-17.707366177958377
1024,-314.60427546484925
1025,-106.88273103218589
1026,-112.55124388572624
1027,-127.49701218926081
1028,-160.9035446336686
1029,-175.52250077965624
1030,-134.31312390140272
1031,-185.5609760445103
1032,-69.63369938625303
1033,-247.1367038319058
1034,-122.74829127988207
1035,-96.64394279544662
1036,-143.74702278220408
1037,-180.2836129699604
1038,-64.19425185054209
1039,-195.97048000476715
1040,-205.82220568801665
1041,-217.13345829279018
1042,-97.7390270773288
1043,7.128593577986038
1044,-293.29728031869445
1045,-11.998224099339126
1046,-479.61643740717034
1047,-196.34191209163782
1048,-208.98783893322926
1049,-191.57569651104131
1050,-187.6224216564399
1051,-117.38316315191706
1052,-62.30789785937365
1053,-66.68840841172758
1054,-155.9989119180541
1055,-80.66386444463762
1056,-129.0144287328992
1057,-189.46249138107572
1058,-142.84185547056677
1059,-125.01485464320737
1060,-255.98388406669108
1061,-80.89322268520272
1062,-230.76395718196073
1063,-124.71254382344432
1064,-82.79972704853633
1065,-80.27893126832939
1066,-36.373029843576525
1067,-139.90870238214833
1068,-90.13446422570803
1069,-154.608855520243
1070,-260.6460619529357
1071,-87.35213034378832
1072,-72.08378463102919
1073,-85.01715799555129
1074,-102.41382128938976
1075,-195.9606423728681
1076,-134.25807843887782
1077,-168.1362117871626
1078,-210.44630994006627
1079,-104.54370978708168
1080,-101.58809451800099
1081,-129.2416142026848
1082,-109.6580560260573
1083,-350.46165519351644
1084,-143.42611007038442
1085,-142.4664997621385
1086,-116.59611950847261
1087,-66.3356977510741
1088,-82.39174880146452
1089,-152.36770832507247
1090,-79.62498041788749
1091,-581.8080609544216
1092,-54.14987075940416
1093,-71.22778315730267
1094,-184.55079257759297
1095,-62.804583104810234
1096,-508.56744207591805
1097,-285.7408762841437
1098,-104.2270338369432
1099,-75.65451153075449
